manufacturer.product,chrome_fwid,windows_fwid,
04f3.2ca6,33f3,,
06af.239b,,,
06af.3d24,,,
06af.3d31,2fca,2e36,
06af.3d32,,,
06af.3d40,,,
06af.5c14,38ca,,
06af.5c40,,,
06af.5c61,,,
06af.639c,37b9,,
06af.89f5,3888,,
06af.8b81,,,
06af.8fa4,3572,,
06af.8fcb,,,
06af.917e,3616,,
06af.995a,,,
06af.99a1,08fc,,
06af.9b23,,,
06af.9b25,,,
06af.9c63,396b,,
06af.9d45,3776,,
06af.9edd,,,
06af.a072,,,
06af.a185,,,
06af.a404,389b,,
06af.a48c,38c8,,
06af.a64c,392a,,
06af.a717,38c9,,
06af.ab28,398b,,
06af.ab9c,398a,,
06af.ed21,3682,,
09e5.060b,387A,,
09e5.160a,,,
09e5.1d0a,38f6,,
09e5.250a,,,
09e5.2909,3216,,
09e5.2a0a,,,
09e5.2d08,1fa6,,
09e5.340b,,,
09e5.3a0a,38f5,,
09e5.5d0a,08fd,,
09e5.6609,,,
09e5.6a0a,38f4,,
09e5.750a,35ee,,
09e5.760a,,,
09e5.7e08,328f,328d,
09e5.b109,3573,,
09e5.bc08,1f6a,,
09e5.c80a,37d6,,
09e5.da08,,,
09e5.fa08,1eb9,,
0dae.0214,3558,,
0dae.0614,,,
0dae.0814,,,
0dae.114c,,,
0dae.1816,3860,,
0dae.3314,,,
0dae.3b14,,,
0dae.4a11,3615,,
0dae.4c11,,,
0dae.4c12,,,
0dae.4d15,3889,,
0dae.5b11,3987,,
0dae.c013,,,
0dae.d414,,,
0dae.e814,,,
0dae.e914,30e4,2e3e,
0e6f.0413,,,
1805.5405,,,
26cf.4d8c,,,
26cf.c604,3895,,
26cf.c634,,,
26cf.c734,,,
26cf.d234,,,
2c05.5405,,,
2c82.1212,3467,,
2c82.2406,3463,,
30e4.4e06,,,
30e4.6306,,,
30e4.c206,,,
30e4.f906,38d2,,
30e4.fa06,,,
3870.0a00,,,
3870.4600,,,
4c83.4e41,1eb9,,
4d10.4c15,346c,,
4e81.0001,3464,,
f004.4005,,,
